feature_set,n_features,model,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
degree_graph,9,LogReg,0.1975,0.0033,0.8841,0.0285,0.3228,0.0061,0.5345,0.0332,0.2378,0.0174
degree_graph,9,RandomForest,0.615,0.0257,0.6849,0.0205,0.6479,0.0211,0.8746,0.0146,0.6441,0.029
degree_graph,9,HistGBDT,0.5818,0.0237,0.7493,0.0254,0.6549,0.0241,0.8916,0.0145,0.6988,0.0294
graph_topology,6,LogReg,0.2436,0.005,0.946,0.0075,0.3874,0.0067,0.8082,0.0195,0.5293,0.029
graph_topology,6,RandomForest,0.7295,0.013,0.711,0.0169,0.7199,0.0075,0.939,0.0051,0.8193,0.0075
graph_topology,6,HistGBDT,0.6628,0.0131,0.8288,0.02,0.7364,0.0129,0.9442,0.0036,0.8353,0.0055
transaction,29,LogReg,0.2296,0.0186,0.9229,0.0068,0.3673,0.0234,0.7586,0.0126,0.3656,0.0263
transaction,29,RandomForest,0.9252,0.006,0.7201,0.0195,0.8097,0.0113,0.9685,0.0035,0.9088,0.0099
transaction,29,HistGBDT,0.8499,0.0117,0.8409,0.0191,0.8452,0.0106,0.9767,0.0026,0.9321,0.0067
temporal,7,LogReg,0.252,0.0052,0.8197,0.0115,0.3854,0.0059,0.5925,0.0099,0.2119,0.0115
temporal,7,RandomForest,0.7199,0.0281,0.6606,0.0275,0.6885,0.022,0.9195,0.0083,0.7291,0.0217
temporal,7,HistGBDT,0.6092,0.0228,0.8118,0.0233,0.6955,0.0125,0.9294,0.0041,0.7657,0.0192
all,51,LogReg,0.3084,0.0397,0.8482,0.0106,0.451,0.0415,0.8315,0.0124,0.541,0.0179
all,51,RandomForest,0.9693,0.01,0.8148,0.0262,0.885,0.0115,0.9909,0.001,0.9681,0.0015
all,51,HistGBDT,0.9346,0.0152,0.915,0.0072,0.9246,0.0071,0.994,0.0009,0.9786,0.0013
